SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,287,Texas,Lee County,12,0,17239,8678,8561,7359,7388,1001,859,107,90,51,50,21,16,139,158
50,48,289,Texas,Leon County,12,0,17404,8654,8750,7775,7830,637,641,72,78,45,72,2,2,123,127
50,48,291,Texas,Liberty County,12,0,88219,43574,44645,37953,38392,4035,4506,517,584,269,333,50,49,750,781
50,48,293,Texas,Limestone County,12,0,23437,12034,11403,9493,8926,2068,2030,165,122,85,103,10,7,213,215
50,48,295,Texas,Lipscomb County,12,0,3233,1653,1580,1526,1445,46,21,27,44,6,19,3,3,45,48
50,48,297,Texas,Live Oak County,12,0,12207,6705,5502,5936,5297,535,49,89,58,60,32,7,5,78,61
50,48,299,Texas,Llano County,12,0,21795,10558,11237,10117,10785,139,112,95,112,48,83,5,4,154,141
50,48,301,Texas,Loving County,12,0,169,98,71,95,65,2,4,0,1,1,1,0,0,0,0
50,48,303,Texas,Lubbock County,12,0,310569,153010,157559,132029,136736,12157,12245,1852,1786,3757,3610,196,222,3019,2960
50,48,305,Texas,Lynn County,12,0,5951,3051,2900,2835,2715,87,66,59,52,10,11,1,0,59,56
50,48,307,Texas,McCulloch County,12,0,7984,4023,3961,3710,3717,135,97,53,42,39,28,3,4,83,73
50,48,309,Texas,McLennan County,12,0,256623,125261,131362,101024,104250,17824,20237,1458,1480,2147,2352,156,154,2652,2889
50,48,311,Texas,McMullen County,12,0,743,392,351,363,332,10,8,2,2,1,4,0,0,16,5
50,48,313,Texas,Madison County,12,0,14284,8226,6058,6020,4844,1896,974,93,77,68,46,5,6,144,111
50,48,315,Texas,Marion County,12,0,9854,4836,5018,3659,3686,953,1102,59,67,45,47,1,2,119,114
50,48,317,Texas,Martin County,12,0,5771,2896,2875,2693,2705,100,71,45,49,15,16,3,2,40,32
50,48,319,Texas,Mason County,12,0,4274,2186,2088,2119,2012,20,18,17,15,5,9,9,3,16,31
50,48,321,Texas,Matagorda County,12,0,36643,18425,18218,15505,15139,1958,2166,251,245,371,335,25,21,315,312
50,48,323,Texas,Maverick County,12,0,58722,29442,29280,28247,28227,248,170,528,525,227,190,11,10,181,158
50,48,325,Texas,Medina County,12,0,51584,26629,24955,24482,23656,1190,414,262,265,206,248,56,40,433,332
50,48,327,Texas,Menard County,12,0,2138,1066,1072,1010,1023,27,10,11,25,2,2,0,0,16,12
50,48,329,Texas,Midland County,12,0,176832,89761,87071,78769,76550,6181,6024,1113,957,2024,1988,107,109,1567,1443
50,48,331,Texas,Milam County,12,0,24823,12255,12568,10594,10865,1156,1203,176,152,90,151,10,7,229,190
50,48,333,Texas,Mills County,12,0,4873,2436,2437,2333,2352,36,21,23,26,10,10,1,0,33,28
50,48,335,Texas,Mitchell County,12,0,8545,5176,3369,4044,3031,867,156,97,56,38,27,6,6,124,93
50,48,337,Texas,Montague County,12,0,19818,9735,10083,9256,9657,106,61,145,129,42,55,7,6,179,175
50,48,339,Texas,Montgomery County,12,0,607391,300569,306822,265043,268602,17289,18249,2979,2946,9198,10586,370,363,5690,6076
50,48,341,Texas,Moore County,12,0,20940,10861,10079,9170,8871,634,251,196,174,681,624,35,13,145,146
50,48,343,Texas,Morris County,12,0,12388,5947,6441,4348,4663,1303,1453,85,86,30,53,7,9,174,177
50,48,345,Texas,Motley County,12,0,1200,612,588,563,556,25,11,13,15,1,1,2,1,8,4
50,48,347,Texas,Nacogdoches County,12,0,65204,31370,33834,24723,25886,5342,6543,277,283,362,502,22,17,644,603
50,48,349,Texas,Navarro County,12,0,50113,24600,25513,20083,20517,3153,3524,274,295,191,210,390,443,509,524
50,48,351,Texas,Newton County,12,0,13595,6972,6623,5326,5105,1413,1270,61,71,52,27,2,0,118,150
50,48,353,Texas,Nolan County,12,0,14714,7342,7372,6635,6677,386,385,94,95,52,66,9,8,166,141
